 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
 (200000.000000000029104+115470.053837925152038j)
