,,Max FP64 eK diff = ,0.000352139,,Max FP32 eK diff = ,1.602667555,,,Max FP64 fK diff = ,0.000317625,,Max FP32 fK diff = ,1.524640625
,,Min FP64 eK diff = ,9.1108E-05,,Min FP32 eK diff = ,0.353028108,,,Min FP64 fK diff = ,0.000140765,,Min FP32 fK diff = ,0.000140765
,,,,,,,,,,,,,
,Serial eK,CUDA eK - FP64,eK abs Diff - FP64,,CUDA eK - FP32,eK Diff - FP32,,Serial fK,CUDA fK - FP64,fK abs Diff - FP64,,CUDA fK - FP32,fK abs Diff - FP32
Row#43,177109.4748,177109.475,0.000156892,,177110.1563,0.681419892,,102550.9792,102550.9789,0.000280791,,102549.625,1.354201791
Row#44,178483.8874,178483.8876,0.000164254,,178484.625,0.737601254,,107424.6438,107424.6435,0.000283496,,107423.2734,1.370357496
Row#45,168568.969,168568.9692,0.000164262,,168569.6875,0.718514262,,107632.5515,107632.5512,0.000267197,,107631.2578,1.293650197
Row#46,159416.3684,159416.3685,0.000151513,,159417.0313,0.662863513,,100101.2767,100101.2765,0.000252679,,100100.0469,1.229867679
Row#47,158706.0334,158706.0335,0.000144338,,158706.6563,0.622898338,,95530.8271,95530.82685,0.000252048,,95529.60156,1.225541048
Row#48,158941.4906,158941.4908,0.000151246,,158942.1563,0.665640246,,100123.7192,100123.719,0.000251562,,100122.4844,1.234859562
Row#49,180892.2344,180892.2346,0.000159101,,180892.9531,0.718694101,,104328.4016,104328.4013,0.000287263,,104327.0156,1.385981263
Row#50,192300.5426,192300.5428,0.000174885,,192301.3125,0.769865885,,113603.979,113603.9787,0.000304802,,113602.5078,1.471180802
Row#51,187575.4685,187575.4687,0.000170805,,187576.2344,0.765851805,,110895.6214,110895.6211,0.000298031,,110894.1875,1.433875031
Row#52,182375.8133,182375.8135,0.000175734,,182376.5938,0.780468734,,114716.3503,114716.35,0.000288901,,114714.9531,1.397166901
Row#53,175721.9834,175721.9835,0.000163229,,175722.7031,0.719772229,,107205.5871,107205.5869,0.000278823,,107204.2344,1.352760823
Row#54,174051.344,174051.3441,0.000170151,,174052.1094,0.765400151,,111620.666,111620.6657,0.000276412,,111619.3359,1.330058412
Row#55,176499.2744,176499.2746,0.000175136,,176500.0625,0.788051136,,114541.7502,114541.75,0.000280051,,114540.3906,1.359621051
Row#56,172418.6545,172418.6547,0.0001754,,172419.4375,0.7830074,,114449.8575,114449.8573,0.000273719,,114448.5313,1.326289719
Row#57,170149.7247,170149.7249,0.000171052,,170150.4844,0.759643052,,111712.8887,111712.8884,0.000270138,,111711.5781,1.310545138
Row#58,168204.7685,168204.7686,0.000169369,,168205.5156,0.747170369,,110311.8035,110311.8032,0.000267041,,110310.5156,1.287859041
Row#59,162078.4788,162078.479,0.000159835,,162079.1719,0.693072835,,104780.7662,104780.7659,0.000257028,,104779.5156,1.250568028
Row#60,165012.3997,165012.3999,0.000169241,,165013.1406,0.740916241,,110268.7251,110268.7248,0.000262067,,110267.4609,1.264119067
Row#61,170463.5774,170463.5776,0.000177804,,170464.375,0.797601804,,115939.7861,115939.7858,0.000270247,,115938.4844,1.301702247
Row#62,129028.2222,129028.2223,0.000110195,,129028.6875,0.465306195,,75144.4984,75144.4982,0.000205366,,75143.48438,1.014028366
Row#63,121948.6866,121948.6867,9.9E-05,,121949.0781,0.391535,,68120.3812,68120.38101,0.000193763,,68119.39844,0.982765763
Row#64,130409.1471,130409.1472,0.000111139,,130409.6094,0.462248139,,75618.56808,75618.56787,0.000207096,,75617.53125,1.036825096
Row#65,130417.801,130417.8011,0.000111952,,130418.2578,0.456795952,,75868.35974,75868.35953,0.000207318,,75867.32031,1.039422318
Row#66,142154.8773,142154.8774,0.000129379,,142155.4219,0.544599379,,86603.18017,86603.17995,0.000225705,,86602.0625,1.117671705
Row#67,147098.9784,147098.9786,0.000134659,,147099.5625,0.584063659,,89677.22826,89677.22803,0.000233404,,89676.08594,1.142320404
Row#68,138169.0704,138169.0705,0.000125379,,138169.6094,0.538985379,,84026.93034,84026.93012,0.000219099,,84025.84375,1.086586099
Row#69,134237.5827,134237.5828,0.000119672,,134238.0938,0.511083672,,80658.44297,80658.44275,0.000213272,,80657.38281,1.060154272
Row#70,130075.7326,130075.7327,0.0001126,,130076.2031,0.4705276,,76178.24812,76178.24791,0.000206916,,76177.21875,1.029368916
Row#71,132975.8231,132975.8232,0.000116688,,132976.3125,0.489370688,,78937.00871,78937.0085,0.0002112,,78935.96094,1.0477732
Row#72,132379.6961,132379.6962,0.000116992,,132380.1875,0.491409992,,79170.16389,79170.16368,0.000209734,,79169.125,1.038887734
Row#73,140384.8379,140384.838,0.000127928,,140385.3906,0.552757928,,85763.06301,85763.06278,0.000222283,,85761.96875,1.094256283
Row#74,167717.0765,167717.0766,0.000122736,,167717.6094,0.532886736,,81771.45408,81771.45381,0.000265586,,81770.14844,1.305640586
Row#75,168236.2396,168236.2397,0.000120187,,168236.7344,0.494806187,,79180.97426,79180.97399,0.000266663,,79179.66406,1.310192663
Row#76,187783.5836,187783.5837,0.000153152,,187784.2656,0.682053152,,99242.23745,99242.23715,0.000297758,,99240.79688,1.440573758
Row#77,188312.0367,188312.0368,0.000155838,,188312.7344,0.697711838,,102238.3121,102238.3118,0.000298071,,102236.8672,1.444952071
Row#78,178056.2469,178056.247,0.000136427,,178056.8438,0.596856427,,87901.28849,87901.2882,0.000282485,,87899.91406,1.374422485
Row#79,178997.837,178997.8371,0.000138511,,178998.4531,0.616143511,,92650.98203,92650.98175,0.000283561,,92649.60156,1.380471561
Row#80,173967.5364,173967.5366,0.00013901,,173968.1094,0.57292701,,85533.1829,85533.18262,0.000276368,,85531.83594,1.346962367
Row#81,173935.3655,173935.3656,0.000125947,,173935.9375,0.572028947,,84991.84992,84991.84964,0.000274981,,84990.5,1.349915981
Row#82,170868.323,170868.3231,0.00011658,,170868.8594,0.53638558,,80724.21827,80724.218,0.000270212,,80722.89063,1.327645212
Row#83,168947.1766,168947.1767,0.000133639,,168947.7656,0.589027639,,89170.46777,89170.46751,0.00026744,,89169.15625,1.31152444
Row#84,171206.2087,171206.2089,0.000116072,,171206.75,0.541262072,,80505.23184,80505.23157,0.00027119,,80503.90625,1.32558719
Row#85,171001.4138,171001.414,0.000120957,,171001.9531,0.539295957,,82404.94735,82404.94708,0.000270203,,82403.625,1.322352203
Row#86,175982.17,175982.1701,0.000133717,,175982.7656,0.595635717,,90614.40212,90614.40185,0.000278346,,90613.03906,1.363060346
Row#87,169289.321,169289.3211,0.000120439,,169289.8594,0.538358439,,82388.8989,82388.89864,0.000267555,,82387.57813,1.320778555
Row#88,174088.6329,174088.633,0.000135825,,174089.2344,0.601469825,,90956.33044,90956.33017,0.000275347,,90954.98438,1.346067347
Row#89,167639.3516,167639.3517,0.000121238,,167639.8906,0.539020238,,81959.2815,81959.28123,0.000265869,,81957.97656,1.304936869
Row#90,165958.9029,165958.9031,0.000141957,,165959.5313,0.628341957,,94485.94423,94485.94397,0.000262978,,94484.66406,1.280164978
Row#91,168380.3068,168380.3069,0.000136829,,168380.9063,0.599454829,,91398.5485,91398.54824,0.000266312,,91397.24219,1.306316312
Row#92,165331.2577,165331.2579,0.00013949,,165331.875,0.61725849,,93420.85918,93420.85892,0.000261833,,93419.57813,1.281056833
Row#93,161855.3432,161855.3434,0.000163578,,161856.0469,0.703642578,,106620.8739,106620.8736,0.000256582,,106619.625,1.248903582
Row#94,161814.7607,161814.7608,0.000163468,,161815.4688,0.708083468,,106643.5155,106643.5153,0.000256571,,106642.2656,1.249884571
Row#95,160789.1849,160789.1851,0.000157005,,160789.8594,0.674437005,,102550.6694,102550.6692,0.000254778,,102549.4219,1.247539778
Row#96,160173.0065,160173.0066,0.000155045,,160173.6563,0.649763045,,101175.5485,101175.5483,0.000254294,,101174.3047,1.243848294
Row#97,158776.453,158776.4532,0.000148734,,158777.0781,0.625094734,,97243.40695,97243.4067,0.000252052,,97242.17188,1.235078052
Row#98,160915.8814,160915.8815,0.000159264,,160916.5625,0.681132264,,103723.0108,103723.0106,0.000255112,,103721.7578,1.253022112
Row#99,164168.5636,164168.5638,0.000176018,,164169.3281,0.764503018,,114396.2982,114396.2979,0.000259952,,114395.0391,1.259139952
Row#100,164702.8482,164702.8483,0.000179182,,164703.6406,0.792459182,,116609.4692,116609.469,0.000261467,,116608.2109,1.258273467
Row#101,164876.5227,164876.5228,0.000178944,,164877.3125,0.789842944,,116543.2262,116543.2259,0.000261322,,116541.9609,1.265235322
Row#102,163883.7853,163883.7855,0.000169854,,163884.5313,0.745947854,,110488.3003,110488.3,0.000260242,,110487.0234,1.276831242
Row#103,163542.0652,163542.0654,0.000168395,,163542.7969,0.731644395,,109834.7419,109834.7417,0.000258985,,109833.4766,1.265357985
Row#104,164011.9442,164011.9443,0.00016798,,164012.6875,0.74334098,,109462.4672,109462.467,0.000259792,,109461.2031,1.264114792
Row#105,163470.5761,163470.5762,0.000165093,,163471.2969,0.720813093,,107216.1135,107216.1132,0.000259516,,107214.8516,1.261893516
Row#106,163405.5887,163405.5888,0.000156097,,163406.2656,0.676935097,,101701.7733,101701.7731,0.000259384,,101700.5078,1.265509384
Row#107,164403.2506,164403.2508,0.000175701,,164404.0313,0.780670701,,114335.3891,114335.3888,0.000260646,,114334.1328,1.256295646
Row#108,162008.0517,162008.0519,0.000167388,,162008.7969,0.745192388,,109139.1494,109139.1491,0.000257448,,109137.9063,1.243107448
Row#109,162219.5886,162219.5888,0.000175243,,162220.3594,0.770744243,,114112.057,114112.0567,0.00025747,,114110.8047,1.25231247
Row#110,164628.4868,164628.4869,0.000196192,,164629.3594,0.872622192,,127889.3516,127889.3513,0.000261837,,127888.0938,1.257849837
Row#111,165643.0651,165643.0653,0.000201064,,165643.9531,0.887997064,,131059.1992,131059.199,0.000263545,,131057.9297,1.269547545
Row#112,165942.2704,165942.2707,0.000218748,,165943.2188,0.948317748,,138428.4096,138428.4093,0.000264628,,138427.1563,1.253325628
Row#113,165343.2261,165343.2263,0.000206666,,165344.125,0.898878666,,132335.1269,132335.1266,0.000263675,,132333.875,1.251885675
Row#114,165399.0379,165399.0381,0.000217518,,165399.9375,0.899603518,,133048.5193,133048.519,0.000264528,,133047.2656,1.253631528
Row#115,164017.3443,164017.3445,0.000194663,,164018.1875,0.843244663,,125006.787,125006.7867,0.00026139,,125005.5391,1.24791139
Row#116,162957.7522,162957.7524,0.000184162,,162958.5469,0.794694162,,118261.5369,118261.5366,0.000259148,,118260.2969,1.239985148
Row#117,163640.1229,163640.1231,0.000192591,,163640.9531,0.830234591,,123570.0289,123570.0287,0.000260308,,123568.7891,1.239859308
